Experiment Log Started

========================================
Running Architecture: ConvNeXt + Baseline
========================================
  > Split: 10% | Seed: 42 ...
    Loss Function: CrossEntropyLoss()
    Epoch 23/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0013 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0473 | Train Acc: 98.32%
    Epoch 25/25 | Train Loss: 0.0024 | Train Acc: 100.00%
  > Split: 10% | Seed: 30 ...
    Loss Function: CrossEntropyLoss()
    Epoch 1/25 | Train Loss: 0.5445 | Train Acc: 74.07%
    Epoch 2/25 | Train Loss: 0.2746 | Train Acc: 87.65%
    Epoch 3/25 | Train Loss: 0.1722 | Train Acc: 95.06%
    Epoch 4/25 | Train Loss: 0.0563 | Train Acc: 100.00%
    Epoch 5/25 | Train Loss: 0.0358 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0127 | Train Acc: 99.23%
    Epoch 6/25 | Train Loss: 0.0390 | Train Acc: 100.00%
    Epoch 7/25 | Train Loss: 0.0196 | Train Acc: 100.00%
    Epoch 8/25 | Train Loss: 0.0208 | Train Acc: 100.00%
    Epoch 9/25 | Train Loss: 0.0128 | Train Acc: 100.00%
    Epoch 10/25 | Train Loss: 0.0166 | Train Acc: 100.00%
    Epoch 11/25 | Train Loss: 0.0062 | Train Acc: 100.00%
    Epoch 12/25 | Train Loss: 0.0062 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0013 | Train Acc: 100.00%
    Epoch 13/25 | Train Loss: 0.0043 | Train Acc: 100.00%
    Epoch 14/25 | Train Loss: 0.0038 | Train Acc: 100.00%
    Epoch 15/25 | Train Loss: 0.0037 | Train Acc: 100.00%
    Epoch 16/25 | Train Loss: 0.0024 | Train Acc: 100.00%
    Epoch 17/25 | Train Loss: 0.0014 | Train Acc: 100.00%
    Epoch 18/25 | Train Loss: 0.0095 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0013 | Train Acc: 100.00%
    Epoch 19/25 | Train Loss: 0.0003 | Train Acc: 100.00%
    Epoch 20/25 | Train Loss: 0.0032 | Train Acc: 100.00%
    Epoch 21/25 | Train Loss: 0.0012 | Train Acc: 100.00%
    Epoch 22/25 | Train Loss: 0.0009 | Train Acc: 100.00%
    Epoch 23/25 | Train Loss: 0.0007 | Train Acc: 100.00%
    Epoch 24/25 | Train Loss: 0.0011 | Train Acc: 100.00%
    Epoch 25/25 | Train Loss: 0.0011 | Train Acc: 100.00%
  > Split: 10% | Seed: 40 ...
    Loss Function: CrossEntropyLoss()
    Epoch 20/25 | Train Loss: 0.0028 | Train Acc: 99.85%
    Epoch 1/25 | Train Loss: 0.5335 | Train Acc: 70.37%
